Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Toronto Raptors,126,Memphis Grizzlies,113,,,,,,,,,TOR,126,MEM,113
Detroit Pistons,93,Milwaukee Bucks,114,,,,,,,,,DET,93,MIL,114
Miami Heat,101,Minnesota Timberwolves,113,,,,,,,,,MIA,101,MIN,113
Washington Wizards,102,New Orleans Pelicans,127,,,,,,,,,WAS,102,NOP,127
Utah Jazz,110,Oklahoma City Thunder,104,,,,,,,,,UTA,110,OKC,104
Atlanta Hawks,124,San Antonio Spurs,106,,,,,,,,,ATL,124,SAS,106
Philadelphia 76ers,96,Golden State Warriors,116,,,,,,,,,PHI,96,GSW,116
Portland Trail Blazers,121,Sacramento Kings,125,,,,,,,,,PHX,121,SAC,125
Detroit Pistons,96,Los Angeles Clippers,107,,,,,,,,,DET,96,LAC,107
Minnesota Timberwolves,115,Charlotte Hornets,133,,,,,,,,,MIN,115,CHA,133
Phoenix Suns,118,New York Knicks,97,,,,,,,,,PHX,118,NYK,97
Chicago Bulls,123,Orlando Magic,88,,,,,,,,,CHI,123,ORL,88
Toronto Raptors,97,Indiana Pacers,114,,,,,,,,,TOR,97,IND,114
Atlanta Hawks,132,Memphis Grizzlies,100,,,,,,,,,ATL,132,MEM,100
Washington Wizards,101,Oklahoma City Thunder,99,,,,,,,,,WAS,101,OKC,99
Boston Celtics,88,San Antonio Spurs,96,,,,,,,,,BOS,88,SAS,96
Milwaukee Bucks,120,Denver Nuggets,109,,,,,,,,,MIL,120,DEN,109
New Orleans Pelicans,98,Utah Jazz,97,,,,,,,,,NOP,98,UTA,97
Portland Trail Blazers,103,Golden State Warriors,118,,,,,,,,,PHX,103,GSW,118
Sacramento Kings,141,Los Angeles Lakers,137,,,,,,,,,SAC,141,LAL,137
Minnesota Timberwolves,121,Philadelphia 76ers,120,,,,,,,,,MIN,121,PHI,120
New York Knicks,99,Atlanta Hawks,90,,,,,,,,,NYK,99,ATL,90
Phoenix Suns,113,Brooklyn Nets,107,,,,,,,,,PHX,113,BKN,107
Miami Heat,107,Chicago Bulls,104,,,,,,,,,MIA,107,CHI,104
Orlando Magic,92,Cleveland Cavaliers,105,,,,,,,,,ORL,92,CLE,105
Charlotte Hornets,143,Houston Rockets,146,,,,,,,,,CHA,143,HOU,146
Washington Wizards,120,Dallas Mavericks,114,,,,,,,,,WAS,120,DAL,114
New Orleans Pelicans,105,Utah Jazz,127,,,,,,,,,NOP,105,UTA,127
Golden State Warriors,105,Los Angeles Clippers,90,,,,,,,,,GSW,105,LAC,90
Milwaukee Bucks,118,Indiana Pacers,100,,,,,,,,,MIL,118,IND,100
Sacramento Kings,101,Memphis Grizzlies,128,,,,,,,,,SAC,101,MEM,128
Boston Celtics,109,Toronto Raptors,97,,,,,,,,,BOS,109,TOR,97
Detroit Pistons,106,Los Angeles Lakers,110,,,,,,,,,DET,106,LAL,110
Orlando Magic,96,Philadelphia 76ers,101,,,,,,,,,ORL,96,PHI,101
Denver Nuggets,120,Miami Heat,111,,,,,,,,,DEN,120,MIA,111
Charlotte Hornets,119,Chicago Bulls,133,,,,,,,,,CHA,119,CHI,133
Oklahoma City Thunder,89,Houston Rockets,102,,,,,,,,,OKC,89,HOU,102
Indiana Pacers,98,Minnesota Timberwolves,100,,,,,,,,,IND,98,MIN,100
